symptoms,disease
"Infrequent menstrual periods, often due to hormonal imbalances.",Oligomenorrhea
"Vision changes, eye pain, and symptoms due to reduced blood flow to the eye.",Ocular Ischemic Syndrome
Benign growth in the mouth that may cause discomfort or be asymptomatic.,Oral Fibroma
"Severe eye pain, redness, and vision changes due to inflammation of the sclera.",Ocular Pain (Scleritis)
"Erythroderma, lymphadenopathy, and immunodeficiency in infants.",Omenn Syndrome
Severe symptoms during pregnancy requiring immediate medical attention.,Obstetric Emergencies
Changes in cognition and behavior due to brain dysfunction.,Organic Brain Syndrome
"Severe flank pain, hematuria, and urinary issues due to calcium oxalate crystals.",Oxalate Kidney Stones
"Seizures, headaches, and neurological deficits due to brain tumor.",Oligodendroglioma
"Symptoms vary based on specific respiratory conditions (e.g., asthma, COPD).",Onset of Pulmonary Conditions
"Eye muscle paralysis, headaches, and temporary vision changes.",Ophtalmoplegic Migraine
"Eye pain, redness, blurred vision, and potential loss of vision due to injury.",Ocular Trauma
Dizziness or lightheadedness upon standing due to sudden drops in blood pressure.,Orthostatic Hypotension
"Bone pain and swelling, often at the knee or shoulder.",Osteochondroma
Symptoms depend on organ involvement due to amyloid deposits.,Oligomeric Amyloid Formation
"Varies widely based on the underlying systemic disease (e.g., diabetes).",Ocular Manifestations of Systemic Diseases
"Vision changes, eye bulging, and pain depending on the tumor type.",Orbital Tumors
"Pain, sores, and sensitivity in the mouth due to various causes.",Oral Mucosal Disorders
Symptoms related to kidney stones or tumors causing urinary obstruction.,Obstructive Uropathy
"Bone pain, swelling, and warmth due to inflammation of the bone.",Osteitis
"Mouth sores, difficulty swallowing, and persistent pain.",Oral Squamous Cell Carcinoma
"Symptoms related to underlying neurological conditions, often discovered via testing.",Oligoclonal Bands
"Vary based on infection type, often involving fever, weight loss, and fatigue.",Opportunistic Infections in HIV
"Fatigue, weakness, and pallor due to various causes of anemia.",Organic Anemia
"Vision loss, pain with eye movement, and possible color vision changes.",Optic Nerve Damage
"Ear pain, hearing loss, and balance issues due to inner ear conditions.",Otologic Disorders
"Sudden vision loss, often without pain.",Opthalmic Artery Occlusion
"Vary widely based on the specific condition (e.g., fractures, arthritis).",Orthopedic Disorders
"Cough, fever, chills, difficulty breathing, chest pain, fatigue.",Pneumonia
"Red patches of skin covered with thick, silvery scales, itching, dry skin.",Psoriasis
"Tremors, stiffness, slow movement, balance problems, and speech changes.",Parkinson's Disease
"Abdominal pain, bloating, heartburn, and nausea.",Peptic Ulcer Disease
"Shortness of breath, fatigue, chest pain, and fainting spells.",Pulmonary Hypertension
"Severe abdominal pain, nausea, vomiting, and fever.",Pancreatitis
"Headaches, dizziness, itching, and high blood pressure.",Polycythemia Vera
"Numbness, tingling, burning sensation in extremities, and weakness.",Peripheral Neuropathy
"Irregular periods, weight gain, acne, and excess hair growth.",Polycystic Ovary Syndrome (PCOS)
"Sore throat, difficulty swallowing, swollen glands, and fever.",Pharyngitis
"Fatigue, weakness, pale skin, and neurological symptoms.",Pernicious Anemia
"Sudden chest pain, difficulty breathing, and decreased breath sounds on one side.",Pneumothorax
"Dermatitis, diarrhea, and dementia due to niacin deficiency.",Pallagra
"Difficulty urinating, blood in urine, pelvic pain, and bone pain.",Prostate Cancer
"Coughing, wheezing, shortness of breath, and chest tightness in children.",Pediatric Asthma
"Shortness of breath, dry cough, fatigue, and unexplained weight loss.",Pulmonary Fibrosis
"Fever, chills, weakness, swollen lymph nodes, and skin sores.",Plague
"Cough, fever, chills, chest pain, and difficulty breathing.",Pneumococcal Infection
"A large pink patch on the chest, followed by smaller patches, itching, and discomfort.",Pityriasis Rosea
"Chest pain, shortness of breath, and palpitations.",Pericarditis
"Fever, chills, and localized infections in various organs.",Pseudomonas Infection
Painless vaginal bleeding during pregnancy and complications in delivery.,Placenta Previa
"Bone pain, deformities, and fractures due to abnormal bone remodeling.",Paget's Disease of Bone
"Fatigue, itching, dry eyes, and liver dysfunction symptoms.",Primary Biliary Cholangitis
"Flashbacks, nightmares, severe anxiety, and uncontrollable thoughts related to trauma.",Post-Traumatic Stress Disorder (PTSD)
"Thickened nails, palmoplantar keratoderma, and oral leukokeratosis.",Pachyonychia Congenita
"Painful blisters on the skin and mucous membranes, often starting in the mouth.",Pemphigus Vulgaris
"Cough, fever, and difficulty breathing, especially in immunocompromised individuals.",Pneumocystis Pneumonia
"Rapid heart rate, dizziness, and fainting upon standing.",Postural Orthostatic Tachycardia Syndrome (POTS)
"Fever, chills, flank pain, and urinary symptoms.",Pyelonephritis
"Leg pain when walking, numbness, and coldness in the lower leg.",Peripheral Artery Disease (PAD)
"Heel pain, especially with first steps in the morning or after sitting.",Plantar Fasciitis
Discolored patches on the skin that may be lighter or darker than surrounding skin.,Pityriasis Versicolor
"Itchy, red bumps on the skin, usually in children, caused by insect bites.",Papular Urticaria
"Headaches, vision problems, and tinnitus due to increased intracranial pressure.",Pseudotumor Cerebri
"Weakness, numbness, and pain in the hands and feet due to nerve damage.",Polyneuropathy
"Abdominal pain, rigidity, and signs of perforation in the abdominal cavity.",Pneumoperitoneum
"Diarrhea, abdominal cramps, and fever due to Clostridium difficile infection.",Pseudomembranous Colitis
"Shortness of breath, chest pain, and cough due to fluid accumulation around the lungs.",Pleural Effusion
"Lower abdominal pain, fever, and abnormal vaginal discharge.",Pelvic Inflammatory Disease (PID)
Cravings for non-nutritive substances like dirt or chalk.,Pica
"Symptoms vary widely but can include diarrhea, nausea, and weight loss.",Parasitic Infections
"Thyroid swelling, changes in voice, and difficulty swallowing.",Papillary Thyroid Carcinoma
"Severe abdominal pain, nausea, and signs of shock.",Perforated Ulcer
"Joint pain, stiffness, and swelling in individuals with psoriasis.",Psoriatic Arthritis
"Often asymptomatic, but can indicate asbestos exposure and lung disease.",Pleural Plaques
"Balance problems, eye movement issues, and cognitive decline.",Progressive Supranuclear Palsy
"Abnormally thickened skull in infants, which can lead to developmental delays.",Pachycephaly
"Irregular heartbeats, fluttering sensation in the chest, and anxiety.",Palpitations
"Pain, swelling, and redness along the vein due to inflammation.",Phlebitis
"Urinary incontinence, pelvic pain, and bowel dysfunction.",Pelvic Floor Dysfunction
"Fatigue, weakness, depression, and increased thirst due to elevated calcium levels.",Primary Hyperparathyroidism
Abnormal bleeding or clotting tendencies due to low or dysfunctional platelets.,Platelet Disorder
"Cognitive decline, weakness, and loss of coordination due to viral infection.",Progressive Multifocal Leukoencephalopathy (PML)
"Abdominal pain, skin sensitivity, and neurological symptoms due to metabolic issues.",Porphyria
"Severe mood swings, irritability, and physical symptoms before menstruation.",Premenstrual Dysphoric Disorder (PMDD)
"Symptoms resembling pregnancy without actual pregnancy, such as missed periods and breast changes.",Pseudopregnancy
"Abdominal pain, swelling, and changes in bowel habits due to cancer.",Peritoneal Mesothelioma
"Cough, fever, and shortness of breath due to inflammation of lung tissue.",Pneumonitis
"Loss of muscle function in part of the body, affecting movement and sensation.",Paralysis
"Flashes of light, floaters in vision, and potential vision loss.",Posterior Vitreous Detachment
"Sudden shortness of breath, chest pain, and coughing up blood.",Pulmonary Embolism
Benign tumors causing growths on the skin or mucous membranes.,Papilloma
"Rectal pain, bleeding, and discomfort due to inflammation.",Proctitis
"Pain, swelling, and loss of function due to weakened bones.",Pathological Fractures
"Shortness of breath, wheezing, and feeling of suffocation due to fluid in the lungs.",Pulmonary Edema
"Raised red lesions on the skin that bleed easily, often occurring after injury.",Pyogenic Granuloma
Poor posture leading to musculoskeletal pain and discomfort.,Postural Deficiencies
"Dark urine, fatigue, and increased risk of blood clots due to red blood cell destruction.",Paroxysmal Nocturnal Hemoglobinuria
False pregnancy symptoms without an actual pregnancy.,Pseudocyesis
"Chronic pelvic pain, urinary urgency, and frequency without infection.",Painful Bladder Syndrome
"Difficulty falling or staying asleep, impacting daily functioning.",Primary Insomnia
"Inflammation of the optic nerve head, leading to vision changes and pain.",Papillitis
"Muscle pain and stiffness, especially in the shoulders and hips, often in older adults.",Polymyalgia Rheumatica
"Chronic low mood, fatigue, and hopelessness lasting for years.",Persistent Depressive Disorder (Dysthymia)
"Severe sore throat, difficulty swallowing, and swelling around the tonsils.",Peritonsillar Abscess
"Symptoms resulting from cancer, including weight loss and systemic symptoms.",Paraneoplastic Syndromes
"Recurrent panic attacks, feelings of impending doom, and physical symptoms like heart palpitations.",Panic Disorder
"Fatigue, itching, jaundice, and abdominal pain due to bile duct inflammation.",Primary Sclerosing Cholangitis
"Vaginal bleeding, abdominal pain, and signs of fetal distress during pregnancy.",Placental Abruption
"Itching, rashes, and skin lesions caused by parasites.",Parasitic Skin Infections
"Chronic pelvic pain, especially after standing, and varicose veins in the pelvis.",Pelvic Congestion Syndrome
"Developmental delays, intellectual disability, and behavioral problems due to amino acid metabolism disorder.",Phenylketonuria (PKU)
"Inflammation of the rectum and colon causing diarrhea, rectal bleeding, and abdominal pain.",Proctocolitis
"Difficulty urinating, frequent urination, and weak urine flow.",Prostate Enlargement (Benign Prostatic Hyperplasia)
"Heart murmurs, decreased cardiac output, and heart failure symptoms.",Papillary Muscular Dysfunction
"Cyanosis, difficulty breathing, and heart murmurs in newborns due to heart defect.",Pulmonary Atresia
"Symptoms vary based on the specific complication after surgery, such as infection or bleeding.",Post-Operative Complications
Red patches of skin with pus-filled blisters and itching.,Pustular Psoriasis
"Yellowish, triangular tissue growth on the eye that may cause irritation and vision problems.",Pterygium
"Severe abdominal pain, vomiting blood, and black tarry stools due to ulcer bleeding.",Peptic Ulcer Hemorrhage
"High fever, chills, fatigue, headache, muscle pain, and respiratory symptoms.",Q Fever
"Severe sore throat, difficulty swallowing, fever, and swelling around the tonsils.",Quinsey (Peritonsillar Abscess)
Loss of movement and sensation in all four limbs due to spinal cord injury.,Quadriplegia
"Symptoms can vary but may include fever, malaise, and respiratory symptoms, often related to infectious diseases.",Quarantine Fever
"Low platelet count, bleeding or bruising easily, and fatigue.",Quinidine-induced Thrombocytopenia
"Varies by individual but can include chronic pain, fatigue, and depression affecting daily activities.",Quality of Life Impairment
"Allergic reactions including skin rash, hives, and gastrointestinal symptoms upon exposure to quercetin.",Quercetin Allergy
The sensation of fetal movement in pregnancy; not a disease but a physiological change.,Quickening
"Fever, headache, anxiety, confusion, hallucinations, paralysis, and hydrophobia.",Rabies
"Joint pain, swelling, stiffness, fatigue, and fever.",Rheumatoid Arthritis
"Weakness, bone pain, delayed growth, and dental problems.",Rickets
"Cough, wheezing, difficulty breathing, fever, and runny nose.",Respiratory Syncytial Virus (RSV)
"Red, itchy, circular rash on the skin, hair loss, and flaky skin.",Ringworm
"Fever, headache, rash, and muscle pain.",Rocky Mountain Spotted Fever
"Rash, fever, sore throat, and swollen lymph nodes.",Rubella
"High fever, cough, runny nose, and red eyes, followed by a rash.",Rubeola (Measles)
"Vision changes, blurry vision, and in severe cases, blindness.",Retinopathy
"Muscle pain, weakness, swelling, dark urine, and fatigue.",Rhabdomyolysis
"Cold fingers and toes, color changes in response to temperature or stress, and numbness.",Raynaud's Disease
"Joint pain, eye inflammation, and urinary problems following an infection.",Reiter's Syndrome (Reactive Arthritis)
"Difficulty breathing, rapid breathing, and a bluish color to the skin in newborns.",Respiratory Distress Syndrome (RDS)
"Runny nose, sore throat, cough, sneezing, and headache (common cold).",Rhinovirus Infection
"Facial redness, visible blood vessels, and red, pus-filled bumps.",Rosacea
"Fever, malaise, neurological symptoms in severe cases.",Rhabdovirus Infection
"Fatigue, weakness, swelling, changes in urination, and confusion.",Renal Failure
"Coughing, difficulty breathing, and chest pain (linked to lung cancer).",Radon Exposure Symptoms
"Uncomfortable sensations in the legs and an uncontrollable urge to move them, especially at night.",Restless Legs Syndrome (RLS)
"Night blindness, loss of peripheral vision, and eventual vision loss.",Retinitis Pigmentosa
"Facial paralysis, rash in the ear or mouth, and hearing loss.",Ramsay Hunt Syndrome
"Loss of purposeful hand skills, repetitive hand movements, and impaired language skills.",Rett Syndrome
"Fever, rash, headache, and muscle pain, depending on the specific type.",Rickettsial Infections
"Recurrent episodes of fever, chills, headache, and muscle aches.",Relapsing Fever
"Painless swelling of lymph nodes, fever, and weight loss.",Rosai-Dorfman Disease
"Fever, joint pain, rash, and heart complications following strep throat infection.",Rheumatic Fever
"Sneezing, nasal congestion, itchy eyes, and wheezing due to allergens.",Respiratory Allergies
"Fatigue, weakness, pale skin, and easy bruising due to low red blood cell counts.",Refractory Anemia
"Diarrhea, fever, abdominal cramps, nausea, vomiting.",Salmonellosis
"Fever, cough, shortness of breath, body aches, sore throat.",SARS (Severe Acute Respiratory Syndrome)
"Itchy skin, rash, sores, and thickened skin in areas where mites burrow.",Scabies
"Abdominal pain, diarrhea, bloody stool, and liver damage (depending on the species).",Schistosomiasis
"Skin thickening, joint pain, fatigue, and digestive problems.",Scleroderma
"Depression, fatigue, social withdrawal, and changes in sleep and appetite.",Seasonal Affective Disorder (SAD)
"Fever, increased heart rate, confusion, difficulty breathing, and low blood pressure.",Sepsis
"Painful rash, itching, fever, and fatigue.",Shingles (Herpes Zoster)
"Anemia, pain crises, swelling, frequent infections, and delayed growth in children.",Sickle Cell Disease
"Nasal congestion, facial pain/pressure, headache, and runny nose.",Sinusitis
"Dry eyes, dry mouth, fatigue, and joint pain.",Sjögren's Syndrome
"Fever, fatigue, rash, and blisters on the skin.",Smallpox
"Loud snoring, gasping for air during sleep, excessive daytime sleepiness, and difficulty concentrating.",Sleep Apnea
"Persistent cough, wheezing, and phlegm production in long-term smokers.",Smokers' Cough
"Pain, swelling, bleeding, and potentially life-threatening reactions depending on the snake.",Snake Bite
"Pain, scratchiness, or irritation in the throat, difficulty swallowing, and swollen lymph nodes.",Sore Throat
"Pain, numbness, and weakness in the legs, back pain, and difficulty walking.",Spinal Stenosis
"Abdominal pain, nausea, and sometimes fever.",Splenic Infarct
"Back pain, stiffness, and reduced flexibility in the spine.",Spondylitis
"Nausea, vomiting, diarrhea, and abdominal cramps.",Stomach Flu (Gastroenteritis)
"Sore throat, fever, red and swollen tonsils, and white patches on the throat.",Strep Throat
"Sores, rashes, fever, and swollen lymph nodes, which may progress through various stages.",Syphilis
"Fatigue, joint pain, skin rashes, and kidney issues.",Systemic Lupus Erythematosus (SLE)
"Pain and swelling in the salivary glands, dry mouth, and difficulty swallowing.",Sialadenitis
"Potential abdominal pain, digestive issues, or may be asymptomatic.",Situs Inversus
"Increased waist circumference, high blood pressure, high blood sugar, and abnormal cholesterol levels.",Syndrome X (Metabolic Syndrome)
"Physical and neurological disabilities depending on the severity, including mobility issues.",Spina Bifida
"Fever, sore throat, painful red or purple rash, and skin peeling.",Stevens-Johnson Syndrome
"Fatigue, swollen gums, joint pain, and anemia due to vitamin C deficiency.",Scurvy
"Fever, cough, and difficulty breathing.",Severe Acute Respiratory Infection (SARI)
"Intense fear of social situations, excessive self-consciousness, and avoidance behaviors.",Social Anxiety Disorder
"Pain, swelling, and discharge from the surgical site after sternotomy.",Sternal Wound Infection
"Abdominal pain, nausea, and jaundice due to bile duct obstruction.",Sphincter of Oddi Dysfunction
"Sore throat, fever, red rash, and strawberry tongue.",Scarlet Fever
"Abdominal pain, weight loss, nausea, and vomiting.",Stomach Cancer
"Heart and major organs located on the opposite side, may be asymptomatic.",Situs Inversus Totalis
"Muscle stiffness, spasms, and impaired mobility.",Stiff Person Syndrome
"Bone pain, fractures, and height loss due to long-term steroid use.",Steroid-Induced Osteoporosis
Temporary loss of consciousness due to insufficient blood flow to the brain.,Syncope (Fainting)
"Fever, fatigue, night sweats, and heart murmurs due to heart valve infection.",Subacute Bacterial Endocarditis
"Pain and swelling in the salivary glands, especially during meals.",Sialolithiasis
"Nausea, headache, confusion, and seizures due to low sodium levels.",Syndrome of Inappropriate Antidiuretic Hormone (SIADH)
"Bone pain, kidney stones, and muscle weakness due to low calcium levels.",Secondary Hyperparathyroidism
"Diarrhea, weight loss, and nutrient deficiencies due to poor absorption of nutrients.",Syndrome of Malabsorption
"Joint pain, swelling, redness, and fever due to infection in the joint.",Septic Arthritis
"Painful, swollen veins near the skin surface, typically in the legs.",Superficial Thrombophlebitis
"Orthostatic hypotension, Parkinsonism, and autonomic dysfunction.",Shy-Drager Syndrome
Painful clicking or locking of a finger when moving it.,Stenosing Tenosynovitis (Trigger Finger)
"Inflammatory back pain, stiffness, and reduced spinal mobility.",Spondyloarthritis
"Severe pain episodes, fatigue, and increased risk of infections.",Sickle Cell Crisis
"New or changing mole, itching, and bleeding in the skin.",Skin Cancer (Melanoma)
"Red, itchy skin, rashes, and swelling upon exposure to allergens.",Skin Allergies
"Fatigue, swollen lymph nodes, persistent cough, and skin lesions.",Sarcoidosis
"Varies depending on the drug but may include nausea, dizziness, and altered mental status.",Sustained Release Drug Toxicity
Heart on the right side of the body; may be asymptomatic or present with complications.,Situs Inversus with Dextrocardia
"Skin thickening, lung fibrosis, and kidney problems.",Systemic Sclerosis
Muscle weakness and atrophy due to prolonged steroid use.,Steroid Myopathy
"Muscle stiffness, spasms, difficulty swallowing, and fever.",Tetanus
"Coughing (sometimes with blood), weight loss, night sweats, fever, and fatigue.",Tuberculosis (TB)
"Prolonged fever, weakness, stomach pain, headache, and loss of appetite.",Typhoid Fever
"Itchy, red, circular rash with clear skin in the center; can affect skin, nails, or scalp.",Tinea (Ringworm)
"Fatigue, weight gain, cold intolerance, dry skin, and depression.",Thyroid Disorders (Hypothyroidism)
"Weight loss, rapid heartbeat, heat intolerance, and anxiety.",Thyroid Disorders (Hyperthyroidism)
"Itching, burning, discharge, and discomfort during intercourse.",Trichomoniasis
"Sudden high fever, rash, low blood pressure, and multi-organ dysfunction.",Toxic Shock Syndrome
"Sore throat, difficulty swallowing, swollen tonsils, and fever.",Tonsillitis
"Anemia, fatigue, weakness, and pale or yellowish skin.",Thalassemia
"Seizures, developmental delays, skin abnormalities, and kidney problems.",Tuberous Sclerosis
"Pain and swelling around a tendon, stiffness, and difficulty moving the affected joint.",Tenosynovitis
"Severe headache, muscle pain, and fever caused by Bartonella bacilliformis.",Trench Fever
"Diarrhea, malabsorption, weight loss, and vitamin deficiencies.",Tropical Sprue
"Fever, skin ulcers, swollen lymph nodes, and respiratory symptoms.",Tularemia
"Difficulty breathing, cyanosis (bluish skin), fatigue, and heart murmur.",Tetralogy of Fallot
"Easy bruising, prolonged bleeding, and fatigue.",Thrombocytopenia
"Swelling, pain, and redness in limbs, difficulty breathing, and chest pain.",Thromboembolism
"Pain, swelling, bruising, and impaired function depending on the affected area.",Trauma (Various Types)
"Weakness, numbness, and bowel or bladder dysfunction due to spinal cord inflammation.",Transverse Myelitis
"Severe headache, scalp tenderness, jaw pain, and vision problems.",Temporal Arteritis (Giant Cell Arteritis)
"Flu-like symptoms, muscle aches, and headaches; severe cases may affect the eyes or brain.",Toxoplasmosis
"Ringing or buzzing in the ears, often accompanied by hearing loss.",Tinnitus
"Dull, aching head pain, tightness in the neck and shoulders, and tenderness in the scalp.",Tension Headache
"Abdominal pain, digestive issues, and in severe cases, neurological symptoms.",Tenia Solium (Pork Tapeworm Infection)
"Lump in the testicle, swelling, pain, and changes in size or shape of the testicles.",Testicular Cancer
"Pain, irregular periods, and hormonal imbalances following sterilization.",Tubal Ligation Syndrome
"Fever, cough, and in severe cases, vision problems due to larval migration.",Toxocariasis
"Cough, fever, and difficulty breathing due to inflammation of the trachea.",Tracheitis
"Painful swelling of the thyroid, fatigue, weight changes, and mood swings.",Thyroiditis
"Irritability, gum swelling, drooling, and difficulty sleeping in infants.",Teething
"Seizures, altered consciousness, and strange sensations.",Temporal Lobe Epilepsy
"Fatigue, easy bruising, and neurological symptoms due to blood clotting disorders.",Thrombotic Thrombocytopenic Purpura (TTP)
"Severe toothache, swelling in the gums, and fever.",Tooth Abscess
"High blood pressure, swelling, and signs of organ damage in pregnant women.",Toxemic Pre-eclampsia
"Failure to thrive, liver dysfunction, and neurological problems in infants.",Tyrosinemia
"Symptoms vary widely based on tumor location; may include pain, swelling, or dysfunction.",Tumors (Various Types)
"Eye irritation, discharge, and potential blindness if untreated.",Trachoma
"Rapid heartbeat, weight loss, heat intolerance, and anxiety.",Thyrotoxicosis
"Severe skin reactions, blistering, and skin peeling; potentially life-threatening.",Toxic Epidermal Necrolysis (TEN)
"Enlarged tonsils causing difficulty swallowing, snoring, and sleep apnea.",Tonsillar Hypertrophy
Pain along the shin due to overuse or repetitive stress.,Tibial Stress Syndrome
"Distinctive facial features, developmental delays, and potential heart defects.",Trisomy 21 (Down Syndrome)
"Pain in limbs, ulcers, and reduced blood flow, often associated with smoking.",Thromboangiitis Obliterans (Buerger's Disease)
"Severe systemic issues, including neurological and cardiovascular problems.",Tertiary Syphilis
Symptoms mimic brain tumors due to the formation of large demyelinating lesions.,Tumefactive Multiple Sclerosis
"Cough, chest discomfort, and wheezing due to inflammation of the trachea and bronchi.",Tracheobronchitis
Typically asymptomatic; may cause rectal bleeding or changes in bowel habits.,Tubular Adenoma
"Ear pain, hearing loss, and discharge from the ear.",Tympanic Membrane Perforation
Symptoms vary based on the tumor location; may include abdominal pain or pressure.,Teratoma
"Sudden high fever, rash, low blood pressure, and multi-organ dysfunction.",Toxic Shock Syndrome
"Fever, sore throat, and an increased risk of infections due to low white blood cell counts.",Toxic Granulocytosis
"Sudden loss of consciousness, convulsions, and muscle stiffness.",Tonic-Clonic Seizures
"Pain, swelling, and difficulty moving the affected joint.",Tenosynovitis
"Frequent urge to defecate, and feelings of incomplete bowel evacuation.",Toilet Bowel Syndrome
"Seizures, headaches, memory problems, and changes in behavior.",Temporal Lobe Tumors
"Itchy, scaly patches on the scalp, hair loss, and redness.",Tenia Capitis (Scalp Ringworm)
Increased fat around the abdomen; may lead to health complications like diabetes and heart disease.,Truncal Obesity
"Back pain, fever, weight loss, and neurological symptoms due to spinal involvement.",Tuberculosis of the Spine (Pott's Disease)
"Increased risk of blood clots, swelling, and pain in affected areas.",Thrombophilia
"Nausea, abdominal pain, neurological symptoms, and fatigue from exposure to toxic metals.",Toxic Metal Poisoning
"Severe intellectual disability, heart defects, and physical abnormalities.",Trisomy 13 (Patau Syndrome)
"Fatigue, shortness of breath, and swelling in the abdomen or legs due to heart dysfunction.",Tricuspid Valve Disease
"Abnormal electrolyte levels, changes in blood pressure, and metabolic imbalances.",Tubular Secretion Disorders
"Fever, rash, and multi-organ dysfunction, similar to toxic shock syndrome.",Toxic Shock-like Syndrome
"Weakness, numbness, and bowel or bladder dysfunction due to spinal cord inflammation.",Transverse Myelitis
"Persistent sore throat, difficulty swallowing, and changes in voice.",Throat Cancer
"Infection, blood clots, and liver dysfunction from long-term use of TPN.",Total Parenteral Nutrition (TPN) Complications
"Itchy rash, blisters, and swelling due to contact with poison ivy or related plants.",Toxicodendron dermatitis (Poison Ivy)
"Rapid heart rate, palpitations, and potential chest pain or dizziness.",Tachycardia
"Symptoms may include a lump in the neck, difficulty swallowing, and changes in voice.",Thyroid Cancer
Repetitive involuntary movements and vocalizations (tics).,Tourette Syndrome
"Seizures, developmental delays, and skin abnormalities.",Tuberous Sclerosis Complex
"Hematuria (blood in urine), urinary frequency, and pain during urination.",Transitional Cell Carcinoma
"Swelling, pain, and redness in the limbs; may lead to complications such as pulmonary embolism.",Thromboembolic Disease
"Sudden, severe facial pain triggered by touch or movement.",Trigeminal Neuralgia
Compulsive hair pulling leading to noticeable hair loss.,Trichotillomania
"Swollen lymph nodes, fever, and weight loss due to TB infection in lymph nodes.",Tuberculous Lymphadenitis
"Vomiting, diarrhea, and liver dysfunction in infants due to genetic metabolic disorder.",Tyrosinemia
"Short stature, delayed puberty, and heart defects in females.",Turner Syndrome
"Abdominal distension, fever, and signs of shock due to severe colitis.",Toxic Megacolon
"Burning stomach pain, bloating, nausea, and indigestion.",Ulcer
"Itchy, raised welts on the skin, swelling, and redness.",Urticaria (Hives)
"Frequent urination, burning sensation while urinating, and cloudy urine.",Urinary Tract Infection (UTI)
"Eye pain, redness, sensitivity to light, and blurred vision.",Uveitis
"Recurrent fever, sweats, chills, and fatigue; often associated with brucellosis.",Undulant Fever
"Nausea, fatigue, confusion, and swelling due to kidney failure.",Uremia
"Uncontrolled leakage of urine, frequent urination, and urgency.",Urinary Incontinence
"Abdominal pain, diarrhea (often with blood), and weight loss.",Ulcerative Colitis
"Inability to urinate, bladder pain, and discomfort.",Urinary Retention
"Hearing loss, vision loss, and balance issues.",Usher Syndrome
"Painful urination, discharge, and itching around the urethra.",Urethritis
"Numbness, tingling in the fingers, and weakness in the hand.",Ulnar Nerve Entrapment
"Difficulty urinating, weak urine stream, and pain during urination.",Urethral Stricture
"Hearing loss, vision loss, and balance issues due to retinitis pigmentosa.",Usher's Syndrome
Varying symptoms based on the specific disorder affecting metabolic uptake processes.,Uptake Disorders
"Cough, sore throat, nasal congestion, and headache.",Upper Respiratory Tract Infection (URTI)
"Blood in urine, frequent urination, and lower back pain.",Urothelial Carcinoma
"Pain, bleeding, and growth of a sore or ulcer that doesn't heal.",Ulcerated Carcinoma
"Increased thirst, frequent urination, fatigue, and blurred vision.",Uncontrolled Diabetes
"Pain on the inner elbow, swelling, and decreased range of motion in the arm.",Ulnar Collateral Ligament Injury
"Heavy menstrual bleeding, pelvic pain, and pressure symptoms.",Uterine Fibroids
"Pain during urination, bleeding, and swelling in the vulvar area.",Urethral Caruncle
"Blood in urine, frequent urination, and pelvic pain.",Urinary Bladder Cancer
"Swelling of salivary glands, fever, headache, and muscle pain.",Uveoparotid Fever (Mumps)
"Persistent sadness, loss of interest, fatigue, and changes in sleep and appetite.",Unipolar Depression
"Sudden, intense urge to urinate followed by involuntary loss of urine.",Urge Incontinence
"Varying symptoms like fatigue, joint pain, and skin changes.",Undifferentiated Connective Tissue Disease
"Chest pain, shortness of breath, and fatigue; often a precursor to a heart attack.",Unstable Angina
"Painful urination, frequent urinary tract infections, and discharge.",Urethral Diverticulum
Brownish spots on the skin that can cause itching and swelling when scratched.,Urticaria Pigmentosa
"Feeling of pressure in the pelvic area, urinary problems, and discomfort during intercourse.",Uterine Prolapse
"Eye pain, redness, tearing, and sensitivity to light due to corneal ulceration.",Ulcerative Keratitis
"Numbness and tingling in the ring and little fingers, weakness in hand grip.",Ulnar Neuropathy
"Pain, weakness, and discomfort in the shoulder, arm, or hand.",Upper Limb Pain
"Eye redness, pain, and vision changes depending on the type.","Uveitis (Anterior, Intermediate, Posterior)"
"Changes in urine odor due to infection, dehydration, or dietary factors.",Urine Smell Disorders
"Severe pain, blood in urine, and urinary blockage symptoms.",Urinary Tract Stones
"Open sores that can cause pain, bleeding, and potential infection.",Ulcerative Lesions
"Urethritis, pelvic pain, and potential complications in pregnancy.",Ureaplasma Infection
"Symptoms may include urinary issues, kidney pain, and potential systemic infections.",Urease Producing Bacteria Infections
"Increased urinary frequency, urgency, and discomfort during urination.",Urethral Hyperplasia
"Urinary incontinence, facial dysmorphism, and kidney issues.",Urofacial Syndrome
"Confusion, seizures, and coma due to kidney failure and toxin buildup.",Uremic Encephalopathy
"Pain, swelling, and discomfort in the groin or lower abdomen.",Urethral Varices
"Numbness, tingling, and weakness in the hand, particularly affecting the pinky and ring fingers.",Ulnar Nerve Dysfunction
"Congenital condition leading to bladder exposure, urinary issues, and potential infections.",Urinary Bladder Exstrophy
"Blood in urine, pain during urination, and potential obstruction symptoms.",Urethral Tumors
"Itchy rash, fever, fatigue, and loss of appetite.",Varicella (Chickenpox)
"Fatigue, jaundice, abdominal pain, and dark urine.",Viral Hepatitis
"Fever, fatigue, muscle aches, and cough.",Viral Infections (General)
"Fever, fatigue, weight loss, and symptoms related to affected organs (skin, lungs, etc.).",Vasculitis
"Swelling, pain, and redness in the affected limb; can lead to pulmonary embolism.",Venous Thrombosis
"Heart murmurs, difficulty breathing, and poor growth in children.",Ventricular Septal Defect
"Blisters in the mouth, fever, and lameness in animals.",Vesicular Stomatitis
